Date_Time,Charge_Capacity(Ah),Voltage(V),Current(A)
06-05-2018 22:52,2.386743069,3.40244627,-2.282143593
06-05-2018 22:54,2.386743069,3.385240078,-2.282110214
06-05-2018 22:56,2.386743069,3.367920399,-2.282161713
06-05-2018 22:58,2.386743069,3.351138592,-2.282072067
06-05-2018 23:00,2.386743069,3.333751202,-2.28219986
06-05-2018 23:02,2.386743069,3.31540823,-2.281871796
06-05-2018 23:04,2.386743069,3.295632839,-2.281949043
06-05-2018 23:06,2.386743069,3.274083614,-2.281932831
06-05-2018 23:08,2.386743069,3.250094891,-2.282152176
06-05-2018 23:10,2.386743069,3.221155643,-2.282138824
06-05-2018 23:12,2.386743069,3.187557697,-2.28217411
06-05-2018 23:14,2.386743069,3.147718906,-2.282206535
06-05-2018 23:16,2.386743069,3.098894596,-2.281787872
06-05-2018 23:18,2.386743069,3.03771925,-2.282089233
06-05-2018 23:19,2.386743069,2.999984264,-2.282094002
06-05-2018 23:21,2.386743069,3.644598484,0
06-05-2018 23:23,2.386743069,3.671034336,0
06-05-2018 23:24,2.386743069,3.677105427,0
06-05-2018 23:26,0.126067102,4.199920177,3.266654968
06-05-2018 23:26,0.128021941,4.200039387,3.259998322
06-05-2018 23:28,0.236420527,4.235141277,3.260082245
06-05-2018 23:30,0.34510234,4.263578892,3.260131836
06-05-2018 23:32,0.453764737,4.286371708,3.260074615
06-05-2018 23:34,0.562430561,4.309027195,3.260074615
06-05-2018 23:36,0.671105802,4.335804462,3.260139465
06-05-2018 23:38,0.779782116,4.365321636,3.260150909
06-05-2018 23:40,0.888443172,4.396402836,3.260101318
06-05-2018 23:42,0.993225694,4.400024891,3.017255783
06-05-2018 23:44,1.089842677,4.399998188,2.786128998
06-05-2018 23:46,1.179245472,4.399996281,2.58246994
06-05-2018 23:48,1.26234746,4.400008678,2.407819748
06-05-2018 23:50,1.34001863,4.400013447,2.257068634
06-05-2018 23:52,1.412986636,4.400043964,2.124834061
06-05-2018 23:54,1.481829047,4.3999753,2.009032249
06-05-2018 23:56,1.547067523,4.399943829,1.907134056
06-05-2018 23:58,1.609051228,4.40000391,1.813581467
06-06-2018 00:00,1.668082952,4.400031567,1.729327202
06-06-2018 00:02,1.724406362,4.399978161,1.650835037
06-06-2018 00:04,1.778191209,4.400053501,1.577255249
06-06-2018 00:06,1.829570413,4.400016308,1.505838394
06-06-2018 00:08,1.87863791,4.399943829,1.438768387
06-06-2018 00:10,1.925528169,4.400072575,1.374357224
06-06-2018 00:12,1.970285416,4.399921894,1.312096596
06-06-2018 00:14,2.012998819,4.400031567,1.251407623
06-06-2018 00:16,2.053744555,4.400061131,1.193788528
06-06-2018 00:18,2.092567205,4.399991512,1.135859489
06-06-2018 00:20,2.129516125,4.400001049,1.0814991
06-06-2018 00:22,2.16469717,4.400000095,1.030139923
06-06-2018 00:24,2.198176861,4.400035381,0.979700089
06-06-2018 00:26,2.230006218,4.399986744,0.930706024
06-06-2018 00:28,2.260241032,4.40005064,0.883786201
06-06-2018 00:30,2.288941622,4.400015354,0.839198112
06-06-2018 00:32,2.316199541,4.400005817,0.796546936
06-06-2018 00:34,2.342057228,4.400075436,0.755628586
06-06-2018 00:36,2.366582155,4.399997234,0.716050148
