Date_Time,Voltage(V),Charge_Capacity(Ah)
05-16-2018 22:25:07.182,4.400005817,1.863600731
05-16-2018 22:27:07.180,4.399981976,1.921212077
05-16-2018 22:29:07.181,4.399964809,1.97596848
05-16-2018 22:31:07.181,4.399992466,2.027979612
05-16-2018 22:33:07.184,4.400038242,2.077423573
05-16-2018 22:35:07.186,4.399982929,2.12450552
05-16-2018 22:37:07.182,4.40006876,2.169343472
05-16-2018 22:39:07.184,4.399976254,2.212059736
05-16-2018 22:41:07.182,4.399996281,2.252707958
05-16-2018 22:43:07.181,4.399981022,2.291336536
05-16-2018 22:45:07.184,4.400029659,2.328064442
05-16-2018 22:47:07.185,4.400009632,2.362980843
05-16-2018 22:49:07.182,4.40005064,2.396184683
05-16-2018 22:51:07.181,4.400005817,2.427700996
05-16-2018 22:53:07.186,4.400008678,2.457635164
05-16-2018 22:55:07.180,4.399966717,2.486059666
05-16-2018 22:57:07.186,4.399982929,2.513050079
05-16-2018 22:59:07.186,4.400062084,2.538687944
05-16-2018 23:01:07.181,4.400037289,2.563038349
05-16-2018 23:03:07.184,4.400038242,2.58616519
05-16-2018 23:04:22.614,4.400018215,2.600110531
05-16-2018 23:06:22.667,4.269743443,2.600110769
05-16-2018 23:08:22.666,4.255928516,2.600110769
05-16-2018 23:09:22.667,4.252190113,2.600110769
05-16-2018 23:11:22.756,3.716824055,2.600110769
05-16-2018 23:13:22.757,3.667544842,2.600110769
05-16-2018 23:15:22.754,3.625042439,2.600110769
05-16-2018 23:17:22.754,3.58213377,2.600110769
05-16-2018 23:19:22.756,3.541606426,2.600110769
05-16-2018 23:21:22.758,3.503984928,2.600110769
05-16-2018 23:23:22.755,3.46890974,2.600110769
05-16-2018 23:25:22.758,3.436014652,2.600110769
05-16-2018 23:27:22.758,3.404816151,2.600110769
05-16-2018 23:29:22.755,3.375600338,2.600110769
05-16-2018 23:31:22.759,3.348191738,2.600110769
05-16-2018 23:33:22.755,3.322028637,2.600110769
05-16-2018 23:35:22.754,3.296101093,2.600110769
05-16-2018 23:37:22.757,3.27026701,2.600110769
05-16-2018 23:39:22.756,3.242599964,2.600110769
05-16-2018 23:41:22.756,3.212758541,2.600110769
05-16-2018 23:43:22.754,3.178942204,2.600110769
05-16-2018 23:45:22.757,3.140753269,2.600110769
05-16-2018 23:47:22.759,3.096488476,2.600110769
05-16-2018 23:49:22.759,3.043438435,2.600110769
05-16-2018 23:50:43.775,2.999998569,2.600110769
05-16-2018 23:52:43.924,3.676274776,2.600110769
05-16-2018 23:54:43.927,3.700056553,2.600110769
05-16-2018 23:55:43.926,3.703939915,2.600110769
05-16-2018 23:57:44.028,4.199957371,0.131387204
05-16-2018 23:58:10.282,4.19998312,0.155522183
05-17-2018 00:00:10.303,4.231983662,0.261256814
05-17-2018 00:02:10.302,4.252091885,0.36985749
05-17-2018 00:04:10.301,4.269793034,0.478585452
05-17-2018 00:06:10.299,4.290696621,0.587249994
05-17-2018 00:08:10.299,4.315926075,0.695895672
05-17-2018 00:10:10.301,4.344290257,0.804556608
05-17-2018 00:12:10.303,4.375496387,0.913193226
05-17-2018 00:14:10.300,4.400027752,1.021355867
05-17-2018 00:16:10.302,4.400013447,1.117056727
05-17-2018 00:18:10.303,4.400010586,1.209183574
05-17-2018 00:20:10.301,4.40000391,1.293670177
05-17-2018 00:22:10.303,4.400002956,1.371601462
05-17-2018 00:24:10.299,4.399995327,1.443988085
05-17-2018 00:26:10.303,4.4000144,1.511494756
05-17-2018 00:28:10.300,4.399999142,1.574610353
05-17-2018 00:30:10.302,4.399968624,1.633919597
05-17-2018 00:32:10.301,4.399994373,1.689761281
05-17-2018 00:34:10.299,4.399989605,1.742437124
05-17-2018 00:36:10.301,4.400012493,1.792205453
05-17-2018 00:38:10.299,4.400063038,1.839274526
05-17-2018 00:40:10.304,4.400036335,1.883811355
05-17-2018 00:42:10.303,4.399981022,1.925973654
05-17-2018 00:44:10.304,4.400010586,1.965865016
05-17-2018 00:46:10.301,4.400016308,2.003614902
05-17-2018 00:48:10.300,4.400047779,2.039277077
05-17-2018 00:50:10.303,4.399994373,2.073023796
05-17-2018 00:52:10.302,4.400011539,2.104984045
05-17-2018 00:54:10.303,4.400041103,2.135245085
05-17-2018 00:56:10.299,4.400023937,2.16389966
05-17-2018 00:58:10.303,4.399981022,2.191020727
05-17-2018 01:00:10.302,4.399991512,2.216672182
05-17-2018 01:02:10.300,4.399981976,2.240931034
05-17-2018 01:04:10.299,4.399991512,2.263864756
05-17-2018 01:04:54.304,4.400002003,2.271958113
05-17-2018 01:06:54.359,4.277115345,2.271959782
05-17-2018 01:08:54.358,4.264679432,2.271959782
05-17-2018 01:09:54.357,4.261352062,2.271959782
05-17-2018 01:11:54.448,3.756572247,2.271959782
05-17-2018 01:13:54.446,3.706633091,2.271959782
05-17-2018 01:15:54.445,3.663132191,2.271959782
05-17-2018 01:17:54.446,3.619633198,2.271959782
05-17-2018 01:19:54.447,3.577600956,2.271959782
05-17-2018 01:21:54.448,3.538230419,2.271959782
05-17-2018 01:23:54.448,3.502066135,2.271959782
05-17-2018 01:25:54.445,3.468277454,2.271959782
05-17-2018 01:27:54.448,3.436763287,2.271959782
05-17-2018 01:29:54.447,3.406445026,2.271959782
05-17-2018 01:31:54.449,3.378262997,2.271959782
05-17-2018 01:33:54.446,3.35148859,2.271959782
05-17-2018 01:35:54.450,3.325809002,2.271959782
05-17-2018 01:37:54.449,3.300076962,2.271959782
05-17-2018 01:39:54.446,3.273742199,2.271959782
05-17-2018 01:41:54.445,3.245184422,2.271959782
05-17-2018 01:43:54.448,3.213491917,2.271959782
05-17-2018 01:45:54.448,3.177484035,2.271959782
05-17-2018 01:47:54.450,3.134902477,2.271959782
05-17-2018 01:49:54.446,3.084649563,2.271959782
05-17-2018 01:51:54.449,3.022610188,2.271959782
05-17-2018 01:52:31.444,2.999999523,2.271959782
05-17-2018 01:54:31.596,3.668673038,2.271959782
05-17-2018 01:56:31.595,3.694939137,2.271959782
05-17-2018 01:57:31.595,3.699502468,2.271959782
05-17-2018 01:59:31.696,4.200018406,0.134596959
05-17-2018 02:00:29.177,4.200013638,0.188285038
05-17-2018 02:02:29.195,4.2286973,0.296701342
05-17-2018 02:04:29.198,4.248762608,0.405357838
05-17-2018 02:06:29.199,4.267114162,0.514035463
05-17-2018 02:08:29.196,4.287759304,0.622701406
05-17-2018 02:10:29.194,4.311754704,0.731335104
05-17-2018 02:12:29.195,4.339128017,0.840024829
05-17-2018 02:14:29.194,4.368931293,0.948708057
05-17-2018 02:16:29.196,4.399988651,1.057342291
05-17-2018 02:18:29.200,4.399940014,1.143865347
05-17-2018 02:20:29.200,4.400019169,1.238296628
05-17-2018 02:22:29.194,4.3999753,1.324965358
05-17-2018 02:24:29.197,4.400073528,1.40497601
05-17-2018 02:26:29.197,4.40002203,1.479065895
05-17-2018 02:28:29.200,4.39992857,1.547915339
05-17-2018 02:30:29.196,4.399981022,1.612232208
05-17-2018 02:32:29.196,4.399974346,1.672418475
